,poets,count,percentage,birth_year,death_year,period
369,卢士衡,9,0.020955086265105127,-1,-1,唐
370,陈叔达,9,0.020955086265105127,-1,635,初唐
371,江为,9,0.020955086265105127,-1,-1,唐
372,包融,8,0.01862674334676011,-1,-1,唐
373,张文琮,8,0.01862674334676011,-1,-1,唐
374,顾云,8,0.01862674334676011,-1,-1,唐
375,孟简,8,0.01862674334676011,-1,824,中唐
376,韦承庆,8,0.01862674334676011,-1,-1,唐
377,卢藏用,8,0.01862674334676011,-1,-1,唐
378,薛曜,8,0.01862674334676011,-1,-1,唐
379,郎大家宋氏,8,0.01862674334676011,-1,-1,唐
380,吴少微,8,0.01862674334676011,-1,-1,唐
381,李敬方,8,0.01862674334676011,-1,-1,唐
382,韩溉,8,0.01862674334676011,-1,-1,唐
383,张登,8,0.01862674334676011,-1,801,中唐
384,鲍防,8,0.01862674334676011,-1,-1,唐
385,薛昭蕴,8,0.01862674334676011,-1,-1,唐
386,姚崇,8,0.01862674334676011,650,721,初唐
387,李治,8,0.01862674334676011,628,683,初唐
388,伊用昌,8,0.01862674334676011,-1,-1,唐
389,朱长文,7,0.016298400428415096,-1,-1,唐
390,钱珝,7,0.016298400428415096,-1,-1,唐
391,白行简,7,0.016298400428415096,776,826,中唐
392,李翱,7,0.016298400428415096,772,841,中唐
393,潘咸,7,0.016298400428415096,-1,-1,唐
394,史凤,7,0.016298400428415096,-1,-1,唐
395,崔元翰,7,0.016298400428415096,-1,-1,唐
396,蒋冽,7,0.016298400428415096,-1,-1,唐
397,于季子,7,0.016298400428415096,-1,-1,唐
398,贺朝,7,0.016298400428415096,-1,-1,唐
399,韦嗣立,7,0.016298400428415096,654,719,初唐
400,陈翊,7,0.016298400428415096,-1,-1,唐
401,王驾,7,0.016298400428415096,-1,-1,唐
402,廖融,7,0.016298400428415096,-1,-1,唐
403,于良史,7,0.016298400428415096,-1,-1,唐
404,霍总,7,0.016298400428415096,-1,-1,唐
405,徐仲雅,7,0.016298400428415096,-1,-1,唐
406,舒元舆,7,0.016298400428415096,-1,835,中唐
407,刘象,7,0.016298400428415096,-1,-1,唐
408,麹信陵,7,0.016298400428415096,-1,-1,唐
409,王適,7,0.016298400428415096,-1,-1,唐
410,厉玄,7,0.016298400428415096,-1,-1,唐
411,李忱,7,0.016298400428415096,810,859,中唐
412,孔绍安,7,0.016298400428415096,-1,-1,唐
413,王諲,7,0.016298400428415096,-1,-1,唐
414,郑絪,7,0.016298400428415096,752,829,中唐
415,张潮,7,0.016298400428415096,-1,-1,唐
416,薛奇童,7,0.016298400428415096,-1,-1,唐
417,上官昭容,7,0.016298400428415096,-1,-1,唐
418,刘孝孙,7,0.016298400428415096,-1,-1,唐
419,宗楚客,7,0.016298400428415096,-1,710,初唐
420,张志和,7,0.016298400428415096,730,810,中唐
421,王无竞,7,0.016298400428415096,-1,-1,唐
422,李显,7,0.016298400428415096,656,710,初唐
423,张循之,7,0.016298400428415096,-1,-1,唐
424,张衮,7,0.016298400428415096,-1,-1,唐
425,阎选,7,0.016298400428415096,-1,-1,唐
426,崔液,7,0.016298400428415096,-1,-1,唐
427,沈颂,6,0.013970057510070083,-1,-1,唐
428,张彪,6,0.013970057510070083,-1,-1,唐
429,赵氏,6,0.013970057510070083,-1,-1,唐
430,胡皓,6,0.013970057510070083,-1,-1,唐
431,李宣古,6,0.013970057510070083,-1,-1,唐
432,李康成,6,0.013970057510070083,-1,-1,唐
433,李暇,6,0.013970057510070083,-1,-1,唐
434,郑准,6,0.013970057510070083,-1,-1,唐
435,王元,6,0.013970057510070083,-1,-1,唐
436,詹敦仁,6,0.013970057510070083,-1,-1,唐
437,张窈窕,6,0.013970057510070083,-1,-1,唐
438,王鲁复,6,0.013970057510070083,-1,-1,唐
439,李贞白,6,0.013970057510070083,627,688,初唐
440,阎防,6,0.013970057510070083,-1,-1,唐
441,牛希济,6,0.013970057510070083,-1,-1,唐
442,可朋,6,0.013970057510070083,-1,-1,唐
443,刘湾,6,0.013970057510070083,-1,-1,唐
444,慕幽,6,0.013970057510070083,-1,-1,唐
445,徐贤妃,6,0.013970057510070083,-1,-1,唐
446,贾曾,6,0.013970057510070083,-1,727,盛唐
447,田娥,6,0.013970057510070083,-1,-1,唐
448,严武,6,0.013970057510070083,726,765,盛唐
449,义净,6,0.013970057510070083,635,713,初唐
450,任希古,6,0.013970057510070083,-1,-1,唐
451,归仁,6,0.013970057510070083,-1,-1,唐
452,张均,6,0.013970057510070083,-1,-1,唐
453,冯道,6,0.013970057510070083,882,954,晚唐
454,郑损,6,0.013970057510070083,-1,-1,唐
455,牛僧孺,6,0.013970057510070083,779,847,中唐
456,李衍,6,0.013970057510070083,-1,-1,唐
457,张旭,6,0.013970057510070083,-1,-1,唐
458,崔护,6,0.013970057510070083,-1,-1,唐
459,李舒,6,0.013970057510070083,-1,-1,唐
460,陈存,6,0.013970057510070083,-1,-1,唐
461,蜀宫群仙,6,0.013970057510070083,-1,-1,唐
462,张夫人,6,0.013970057510070083,-1,-1,唐
463,章八元,6,0.013970057510070083,-1,-1,唐
464,王之涣,6,0.013970057510070083,688,742,盛唐
465,王喦,6,0.013970057510070083,-1,-1,唐
466,李沇,6,0.013970057510070083,-1,895,晚唐
467,殷遥,6,0.013970057510070083,-1,-1,唐
468,林滋,6,0.013970057510070083,-1,-1,唐
469,宋璟,6,0.013970057510070083,663,737,初唐
470,岑羲,6,0.013970057510070083,-1,712,初唐
471,张柬之,6,0.013970057510070083,625,706,初唐
472,郑世翼,6,0.013970057510070083,-1,-1,唐
473,王起,6,0.013970057510070083,760,847,中唐
474,崔兴宗,5,0.01164171459172507,-1,-1,唐
475,郭元振,5,0.01164171459172507,656,713,初唐
476,袁不约,5,0.01164171459172507,-1,-1,唐
477,张聿,5,0.01164171459172507,-1,-1,唐
478,徐敞,5,0.01164171459172507,-1,-1,唐
479,阎宽,5,0.01164171459172507,-1,-1,唐
480,郑澣,5,0.01164171459172507,-1,-1,唐
481,徐九皋,5,0.01164171459172507,-1,-1,唐
482,吴越人,5,0.01164171459172507,-1,-1,唐
483,李泌,5,0.01164171459172507,722,789,盛唐
484,杨乘,5,0.01164171459172507,-1,-1,唐
485,廖匡图,5,0.01164171459172507,-1,-1,唐
486,赵璜,5,0.01164171459172507,804,862,中唐
487,王泠然,5,0.01164171459172507,692,725,初唐
488,徐锴,5,0.01164171459172507,920,974,晚唐
489,黄损,5,0.01164171459172507,-1,-1,唐
490,潘佑,5,0.01164171459172507,937,972,晚唐
491,蔡希寂,5,0.01164171459172507,-1,-1,唐
492,梁琼,5,0.01164171459172507,-1,-1,唐
493,李嶷,5,0.01164171459172507,-1,-1,唐
494,权龙褒,5,0.01164171459172507,-1,-1,唐
495,隐峦,5,0.01164171459172507,-1,-1,唐
