name,poem_count,top_chars
崔立之,3,"乍,气,入,光,天"
刘皂,3,"阳,君,行,泪,心"
郑常,3,"山,云,野,鸟,江"
欧阳询,3,"团,谁,应,地,下"
冯伉,3,"煌,秩,容,羽,陈"
李希仲,3,"身,边,羽,日,将"
薛馧,3,"前,香,见,理,娇"
慧宣,3,"方,生,绝,深,始"
崔莺莺,3,"人,下,羞,郎,待"
王福娘,3,"日,心,分,赋,人"
刘瑶,3,"遥,花,团,天,耿"
廉氏,3,"生,时,独,微,思"
崔仲容,3,"剪,云,未,归,春"
崔萱,3,"灼,沈,漾,春,明"
刘云,3,"妾,有,秋,蔼,亦"
孙氏,3,"夜,风,玉,飒,满"
程长文,3,"人,时,月,当,如"
寒山,3,"人,有,我,心,生"
李舜弦,3,"濛,香,独,边,池"
王韫秀,3,"秦,阁,贵,机,春"
苏广文,3,"白,春,里,溪,云"
韩常侍,3,"烟,伴,山,拂,锦"
王勣,3,"日,长,妆,人,云"
狄焕,3,"雨,两,棹,天,烟"
胡玢,3,"巢,看,尔,桑,莫"
詹琲,3,"衣,五,鸿,栖,甘"
刘乙,3,"开,今,吾,天,道"
景云,3,"台,门,归,松,鸟"
法照,3,"山,过,多,家,僧"
张萧远,3,"从,辞,光,门,时"
滕传胤,3,"莲,花,潮,立,折"
徐昌图,3,"红,处,孤,风,梦"
裴谞,3,"神,似,畔,风,如"
刘行敏,3,"长,终,生,知,宴"
韦璜,3,"泉,心,日,知,人"
王轩,3,"人,千,国,入,春"
西施,3,"间,鸟,云,外,人"
何光远,3,"檐,桥,琼,佩,解"
龙女,3,"水,月,苦,当,求"
湘中蛟女,3,"华,佳,熙,陶,盈"
眉娘,3,"丹,仙,青,变,有"
知玄,3,"生,花,馀,龙,千"
上元夫人,3,"蓬,云,窥,能,君"
张白,3,"陵,武,天,酒,个"
许宣平,3,"人,归,居,朝,谷"
李梦符,3,"渔,罢,到,徐,修"
惟审,3,"空,春,茫,滴,啼"
李亨,3,"王,惟,天,生,道"
昙域,3,"时,长,山,松,生"
若虚,3,"年,藓,前,松,夜"
澹交,3,"身,未,荣,悠,梦"
刘晏,3,"神,汉,光,有,祚"
翁宏,3,"残,又,今,飞,将"
郑馀庆,3,"开,翠,情,邸,孙"
王铎,3,"主,解,入,光,玉"
李縠,3,"月,归,向,文,声"
赵鸿,3,"青,悠,孤,大,人"
郑仁表,3,"人,拍,时,路,峡"
李骘,3,"云,日,草,远,春"
萧遘,3,"青,瑟,国,江,平"
武瓘,3,"花,人,满,还,谢"
齐浣,3,"君,茕,寂,思,月"
莫宣卿,3,"光,同,书,长,寒"
刘绮庄,3,"人,日,桂,栖,卒"
黄颇,3,"年,堂,羡,生,奏"
杨玢,3,"秋,堪,离,又,我"
